id;employee_id;course_id;old_butee_date;is_long_absence;quiz_history_id;evaluation_id;renewal_formir49_id;quiz_passed;is_present;moring_presence;afternoon_presence;level
106;2395;1779;2022-10-31 12:00:00;;;;;;;;;
107;2395;1794;2023-10-31 12:00:00;;;;;;;;;
108;2395;1857;2024-10-31 12:00:00;;;;;;;;;
109;2418;1789;2022-10-31 12:00:00;;;;;;;;;
110;2418;1794;2023-10-31 12:00:00;;;;;;;;;
111;2418;1857;2024-10-31 12:00:00;;;;;;;;;
112;2482;1739;2022-04-30 12:00:00;;;;;;;;;
113;2482;1775;2023-04-30 12:00:00;;;;;;;;;
114;2482;1829;2024-04-30 12:00:00;;;;;;;;;
115;6938;1750;2022-12-31 12:00:00;;;;;;;;;
116;6938;1801;2023-12-31 12:00:00;;;;;;;;;
117;6938;1754;2024-12-31 12:00:00;;;;;;;;;
118;2616;1750;2022-12-31 12:00:00;;;;;;;;;
119;2616;1801;2023-12-31 12:00:00;;;;;;;;;
120;2616;1754;2024-12-31 12:00:00;;;;;;;;;
121;2519;1720;2022-12-31 12:00:00;;;;;;;;;
122;2519;1801;2023-12-31 12:00:00;;;;;;;;;
123;2519;1754;2024-12-31 12:00:00;;;;;;;;;
124;1651;1724;2022-12-31 12:00:00;;;;;;;;;
125;1651;1730;2023-12-31 12:00:00;;;;;;;;;
126;1651;1754;2024-12-31 12:00:00;;;;;;;;;
127;7064;1842;2024-11-30 12:00:00;;;;;;;;;
128;7065;1842;2024-11-30 12:00:00;;;;;;;;;
129;7066;1842;2024-11-30 12:00:00;;;;;;;;;
130;2528;1786;2022-12-31 12:00:00;;;;;;;;;
131;2528;1699;2023-12-31 12:00:00;;;;;;;;;
132;2528;1754;2024-12-31 12:00:00;;;;;;;;;
133;2548;1786;2022-12-31 12:00:00;;;;;;;;;
134;2548;1743;2023-12-31 12:00:00;;;;;;;;;
135;2548;1754;2024-12-31 12:00:00;;;;;;;;;
136;1422;1796;2023-02-28 12:00:00;;;;;;;;;
137;1422;1743;2024-02-29 12:00:00;;;;;;;;;
138;1422;1725;2025-02-28 12:00:00;;;;;;;;;
139;2481;1780;2023-01-31 12:00:00;;;;;;;;;
