id;type;autorisationNumber;startDate;endDate;userId
95;TRI;FI-639/23;2023-12-29 12:00:00;2026-12-31 12:00:00;1504
96;TRI;FI-610/23;2023-03-16 12:00:00;2026-03-31 12:00:00;1505
97;TRI;FI-651/24;2024-01-30 12:00:00;2027-01-31 12:00:00;1536
98;TRI;FI-650/24;2024-01-30 12:00:00;2027-01-31 12:00:00;1541
99;TRI;FI-642/24;2024-01-15 12:00:00;2027-01-31 12:00:00;1542
100;TRI;FI-502/21;2022-11-15 12:00:00;2024-06-30 12:00:00;1571
101;TRE;FE-502/21;2024-01-15 12:00:00;2027-01-31 12:00:00;1571
102;TRI;FI-656/24;2024-02-27 12:00:00;2027-02-28 12:00:00;1586
103;TRI;FI-611/23;2023-03-16 12:00:00;2026-03-31 12:00:00;1587
104;TRI;FI-622/23;2023-08-17 12:00:00;2026-08-31 12:00:00;1606
105;TRI;FI-605/23;2023-01-06 12:00:00;2026-01-31 12:00:00;1607
106;TRI;FI-617/23;2023-04-17 12:00:00;2026-04-30 12:00:00;1608
107;FI_ATPL;;2023-04-17 12:00:00;2026-04-30 12:00:00;1608
108;TRI;FI-613/23;2023-03-16 12:00:00;2026-03-31 12:00:00;1614
109;TRI;FI-595/22;2022-12-02 12:00:00;2025-11-30 12:00:00;1615
110;TRI;FI-640/23;2023-12-29 12:00:00;2026-12-31 12:00:00;1632
111;TRI;FI-612/23;2023-03-16 12:00:00;2026-03-31 12:00:00;1633
112;TRI;FI-615/23;2023-03-22 12:00:00;2026-03-31 12:00:00;1651
113;TRI;FI-654/24;2024-02-05 12:00:00;2027-02-28 12:00:00;1976
114;TRI;FI-593/22;2022-12-02 12:00:00;2025-11-30 12:00:00;6236
115;TRI;FI-641/23;2023-12-29 12:00:00;2026-12-31 12:00:00;6334
116;TRI;FI-601/22;2022-12-22 12:00:00;2025-12-31 12:00:00;6335
117;TRI;FI-638/23;2023-12-29 12:00:00;2026-12-31 12:00:00;6336
118;TRI;FI-413/17;2023-04-19 12:00:00;2026-04-30 12:00:00;227
119;TRE;FE-413/17;2024-03-22 12:00:00;2027-05-31 12:00:00;227
120;TRI;FI-419/17;2023-04-19 12:00:00;2026-04-30 12:00:00;248
121;TRE;FE-419/17;2023-04-19 12:00:00;2026-04-30 12:00:00;248
122;FI_ATPL;;2023-04-19 12:00:00;2026-04-30 12:00:00;248
123;TRI;FI-519/21;2024-03-26 12:00:00;2027-03-31 12:00:00;419
124;TRE;FE-519/21;2024-03-26 12:00:00;2027-03-31 12:00:00;419
125;TRI;FI-517/21;2024-03-22 12:00:00;2027-03-31 12:00:00;386
126;TRE;FE-517/21;2024-03-22 12:00:00;2027-03-31 12:00:00;386
127;FI_ATPL;;2021-10-06 12:00:00;2024-03-31 12:00:00;386
128;TRI;FI-400/17;2023-01-21 12:00:00;2026-01-31 12:00:00;747
129;TRE;FE-400/17;2023-11-07 12:00:00;2026-11-30 12:00:00;747
130;FI_ATPL;;2023-01-21 12:00:00;2026-01-31 12:00:00;747
131;TRI;FI-418/17;2024-02-23 12:00:00;2027-02-28 12:00:00;115
132;TRE;FE-418/17;2024-02-23 12:00:00;2027-02-28 12:00:00;115
133;FI_ATPL;;2024-02-23 12:00:00;2027-02-28 12:00:00;115
134;TRI;FI-260/14;2023-06-16 12:00:00;2026-06-30 12:00:00;116
135;TRE;FE-260/14;2023-06-16 12:00:00;2026-06-30 12:00:00;116
136;TRI;FI-248/14;2023-11-08 12:00:00;2026-12-31 12:00:00;58
137;TRE;FE-248/14;2023-11-08 12:00:00;2026-12-31 12:00:00;58
138;TRI;FI-414/17;2024-02-23 12:00:00;2027-02-28 12:00:00;196
139;TRE;FE-414/17;2024-02-23 12:00:00;2027-02-28 12:00:00;196
140;FI_ATPL;;2024-02-23 12:00:00;2027-02-28 12:00:00;196
