id;status;date;instructor_id;sie_id
1;1;2018-11-26 12:00:00;402;
2;1;2019-02-01 12:00:00;477;
3;1;2021-02-01 12:00:00;58;
4;1;2009-01-14 12:00:00;66;
5;1;2013-11-18 12:00:00;72;
6;1;2020-12-01 12:00:00;738;
7;1;2019-04-02 12:00:00;243;
8;1;2018-09-19 12:00:00;359;
9;1;2019-01-01 12:00:00;367;
10;1;2018-09-19 12:00:00;377;
11;1;2019-02-01 12:00:00;378;
12;1;2019-04-06 12:00:00;401;
13;1;2024-02-01 12:00:00;450;
14;1;2023-01-23 12:00:00;683;
15;1;2022-02-01 12:00:00;684;
16;1;2022-02-01 12:00:00;705;
17;1;2022-02-01 12:00:00;707;
18;1;2019-01-01 12:00:00;714;
19;1;2019-04-20 12:00:00;730;
20;1;2019-05-13 12:00:00;739;
21;1;2019-04-12 12:00:00;748;
22;1;2022-12-02 12:00:00;755;
23;1;2022-02-14 12:00:00;756;
24;1;2022-02-14 12:00:00;763;
25;1;2022-10-01 12:00:00;764;
26;1;2022-12-02 12:00:00;770;
27;1;2022-12-02 12:00:00;777;
28;1;2024-02-01 12:00:00;780;
29;1;2022-02-14 12:00:00;785;
30;1;2024-02-01 12:00:00;800;
31;1;2022-02-14 12:00:00;805;
32;1;2022-12-01 12:00:00;816;
33;1;2022-12-01 12:00:00;822;
34;1;2022-02-01 12:00:00;840;
35;1;2022-12-02 12:00:00;918;
36;1;2022-02-14 12:00:00;924;
37;1;2022-12-02 12:00:00;931;
38;1;2022-04-01 12:00:00;932;
39;1;2022-04-01 12:00:00;934;
40;1;2022-12-02 12:00:00;1392;
41;1;2023-10-04 12:00:00;1409;
42;1;2022-12-02 12:00:00;1422;
43;1;2023-02-01 12:00:00;1423;
44;1;2024-03-11 12:00:00;1504;
45;1;2023-04-01 12:00:00;1505;
46;1;2024-03-01 12:00:00;1536;
47;1;2024-03-11 12:00:00;1541;
48;1;2024-03-11 12:00:00;1542;
49;1;2022-12-01 12:00:00;1571;
50;1;2024-05-15 12:00:00;1586;
51;1;2023-04-01 12:00:00;1587;
52;1;2023-10-04 12:00:00;1606;
53;1;2023-02-01 12:00:00;1607;
54;1;2023-04-25 12:00:00;1608;
55;1;2023-04-01 12:00:00;1614;
56;1;2022-12-02 12:00:00;1615;
57;1;2024-03-01 12:00:00;1632;
58;1;2023-04-01 12:00:00;1633;
59;1;2023-04-10 12:00:00;1651;
60;1;2024-03-01 12:00:00;1976;
61;1;2022-12-02 12:00:00;6236;
62;1;2024-03-01 12:00:00;6334;
63;1;2023-02-01 12:00:00;6335;
64;1;2024-01-01 12:00:00;227;
65;1;2022-12-01 12:00:00;248;
66;1;2024-01-01 12:00:00;419;
67;1;2019-05-13 12:00:00;386;
68;1;2019-04-13 12:00:00;747;
69;1;2024-03-01 12:00:00;115;
70;1;2023-06-01 12:00:00;116;
71;1;2024-03-01 12:00:00;196;
72;1;2021-02-01 12:00:00;57;
73;1;2023-04-25 12:00:00;212;
74;1;2022-10-01 12:00:00;124;
75;1;2022-01-01 12:00:00;78;
76;1;2024-03-01 12:00:00;139;
77;1;2022-10-01 12:00:00;146;
78;1;2022-11-25 12:00:00;80;
79;1;2022-04-08 12:00:00;88;
80;1;2022-01-01 12:00:00;89;
81;1;2022-10-01 12:00:00;90;
82;1;2023-04-01 12:00:00;98;
83;1;2020-07-03 12:00:00;50;
84;1;2024-03-01 12:00:00;154;
85;1;2020-12-01 12:00:00;675;
86;1;2020-12-01 12:00:00;722;
87;1;2023-03-01 12:00:00;1408;
88;1;2023-03-01 12:00:00;1439;
89;1;2022-04-01 12:00:00;1441;
90;1;2024-03-01 12:00:00;235;
91;1;2024-05-15 12:00:00;1742;
92;1;2024-05-15 12:00:00;1517;
93;1;2024-05-15 12:00:00;476;
94;0;;6336;
95;0;;832;
