id;date_of_origin;presence_marked;instructor_id
146;2023-01-06 12:00:00;1;535
147;2024-02-05 12:00:00;1;359
148;2024-06-05 12:00:00;1;80
149;2025-06-05 12:00:00;1;66
150;2022-11-09 12:00:00;1;748
151;2022-12-09 12:00:00;1;243
152;2024-07-09 12:00:00;1;303
153;2021-06-09 12:00:00;1;148
154;2024-03-09 12:00:00;1;378
155;2024-03-09 12:00:00;1;402
156;2022-09-06 12:00:00;1;344
157;2024-03-04 12:00:00;1;730
158;2025-04-05 12:00:00;1;739
159;2024-07-05 12:00:00;1;763
160;2023-02-03 12:00:00;1;40
161;2023-09-02 12:00:00;1;57
162;2024-04-03 12:00:00;1;146
163;2026-02-02 12:00:00;1;88
164;2024-06-01 12:00:00;1;80
165;2024-03-04 12:00:00;1;747
166;2026-01-04 12:00:00;1;747
167;2022-11-06 12:00:00;1;115
168;2023-05-07 12:00:00;1;218
169;2023-05-06 12:00:00;1;359
170;2022-11-06 12:00:00;1;242
171;2023-04-05 12:00:00;1;243
172;2024-03-05 12:00:00;1;378
173;2022-03-09 12:00:00;1;402
174;2022-10-10 12:00:00;1;393
175;2023-10-10 12:00:00;1;433
176;2021-07-09 12:00:00;1;154
177;2023-07-09 12:00:00;1;477
178;2025-02-09 12:00:00;1;377
179;2022-11-04 12:00:00;1;476
180;2023-01-03 12:00:00;1;359
181;2023-01-05 12:00:00;1;401
182;2026-05-04 12:00:00;1;932
183;2024-08-04 12:00:00;1;248
184;2023-03-09 12:00:00;1;386
185;2022-01-10 12:00:00;1;243
186;2023-08-10 12:00:00;1;243
187;2024-08-05 12:00:00;1;80
188;2022-01-04 12:00:00;1;154
189;2022-10-04 12:00:00;1;459
190;2024-03-05 12:00:00;1;714
191;2024-06-05 12:00:00;1;714
192;2022-01-07 12:00:00;1;115
193;2022-05-07 12:00:00;1;714
194;2023-12-06 12:00:00;1;714
195;2022-01-07 12:00:00;1;747
196;2023-03-05 12:00:00;1;401
197;2025-05-05 12:00:00;1;401
198;2022-01-07 12:00:00;1;714
199;2022-06-06 12:00:00;1;714
200;2024-04-07 12:00:00;1;459
201;2024-04-01 12:00:00;1;80
202;2022-09-06 12:00:00;1;7097
203;2024-05-04 12:00:00;1;7097
204;2021-07-09 12:00:00;1;242
205;2023-07-09 12:00:00;1;402
206;2024-09-09 12:00:00;1;402
207;2023-07-08 12:00:00;1;476
208;2024-01-07 12:00:00;1;535
209;2024-01-08 12:00:00;1;367
210;2024-12-05 12:00:00;1;88
211;2021-08-03 12:00:00;1;80
212;2023-10-03 12:00:00;1;747
213;2025-01-04 12:00:00;1;386
214;2026-05-04 12:00:00;1;747
215;2021-12-07 12:00:00;1;235
216;2022-10-05 12:00:00;1;378
217;2024-06-07 12:00:00;1;694
218;2021-07-11 12:00:00;1;344
219;2022-06-11 12:00:00;1;378
220;2024-06-11 12:00:00;1;763
221;2023-01-05 12:00:00;1;146
222;2025-01-05 12:00:00;1;88
223;2022-03-06 12:00:00;1;344
224;2024-01-04 12:00:00;1;419
225;2023-06-07 12:00:00;1;1571
226;2021-01-08 12:00:00;1;196
227;2022-09-08 12:00:00;1;739
228;2024-02-08 12:00:00;1;739
229;2023-11-05 12:00:00;1;58
230;2021-12-07 12:00:00;1;291
231;2023-03-01 12:00:00;1;227
232;2024-06-08 12:00:00;1;1571
233;2022-02-07 12:00:00;1;196
234;2023-12-05 12:00:00;1;291
235;2023-05-06 12:00:00;1;739
236;2022-08-07 12:00:00;1;298
237;2022-12-07 12:00:00;1;367
238;2024-01-06 12:00:00;1;1571
239;2021-02-07 12:00:00;1;476
240;2023-03-05 12:00:00;1;419
241;2025-06-07 12:00:00;1;433
242;2024-11-05 12:00:00;1;66
243;2021-09-08 12:00:00;1;218
244;2023-04-08 12:00:00;1;748
245;2023-07-08 12:00:00;1;378
246;2022-04-08 12:00:00;1;196
247;2023-02-08 12:00:00;1;401
248;2023-06-09 12:00:00;1;477
249;2021-06-08 12:00:00;1;476
250;2024-05-08 12:00:00;1;218
251;2025-03-08 12:00:00;1;378
252;2023-06-01 12:00:00;1;764
253;2022-07-02 12:00:00;1;738
254;2023-09-01 12:00:00;1;722
255;2024-09-01 12:00:00;1;722
256;2022-07-07 12:00:00;1;235
257;2023-10-05 12:00:00;1;359
258;2023-11-06 12:00:00;1;367
259;2022-11-08 12:00:00;1;196
260;2022-03-02 12:00:00;1;235
261;2024-07-02 12:00:00;1;700
262;2026-05-01 12:00:00;1;367
263;2022-09-07 12:00:00;1;218
264;2022-12-06 12:00:00;1;378
265;2024-07-06 12:00:00;1;459
266;2022-04-08 12:00:00;1;154
267;2024-02-07 12:00:00;1;243
268;2023-07-08 12:00:00;1;243
269;2021-12-10 12:00:00;1;477
270;2023-01-11 12:00:00;1;714
271;2025-03-11 12:00:00;1;739
272;2022-08-07 12:00:00;1;130
273;2023-11-07 12:00:00;1;700
274;2025-07-07 12:00:00;1;367
275;2022-09-07 12:00:00;1;747
276;2025-05-09 12:00:00;1;378
277;2025-06-09 12:00:00;1;730
278;2022-09-07 12:00:00;1;402
279;2023-02-06 12:00:00;1;243
280;2023-01-08 12:00:00;1;714
281;2023-04-11 12:00:00;1;459
282;2022-05-12 12:00:00;1;433
283;2023-04-12 12:00:00;1;401
284;2021-10-08 12:00:00;1;401
