id;jeppesen_code;validity_end;user_id;category;validity_start;training_id
116;CHL;2023-04-30 12:00:00;138;;;
117;CHL;2023-10-31 12:00:00;138;;;
118;CHL;2024-04-30 12:00:00;138;;;
119;CHL;2024-10-31 12:00:00;138;;;
120;CHL;2021-09-30 12:00:00;139;;;
121;CHL;2022-03-31 12:00:00;139;;;
122;CHL;2022-09-30 12:00:00;139;;;
123;CHL;2023-03-31 12:00:00;139;;;
124;CHL;2023-09-30 12:00:00;139;;;
125;CHL;2024-03-31 12:00:00;139;;;
126;CHL;2024-09-30 12:00:00;139;;;
127;CHL;2022-07-31 12:00:00;146;;;
128;CHL;2023-01-31 12:00:00;146;;;
129;CHL;2023-07-31 12:00:00;146;;;
130;CHL;2024-01-31 12:00:00;146;;;
131;CHL;2024-07-31 12:00:00;146;;;
132;CHL;2021-12-31 12:00:00;147;;;
133;CHL;2022-06-30 12:00:00;147;;;
134;CHL;2022-12-31 12:00:00;147;;;
135;CHL;2023-06-30 12:00:00;147;;;
136;CHL;2023-12-31 12:00:00;147;;;
137;CHL;2024-06-30 12:00:00;147;;;
138;CHL;2022-10-31 12:00:00;148;;;
139;CHL;2023-04-30 12:00:00;148;;;
140;CHL;2023-10-31 12:00:00;148;;;
141;CHL;2024-04-30 12:00:00;148;;;
142;CHL;2024-10-31 12:00:00;148;;;
143;CHL;2022-10-31 12:00:00;154;;;
144;CHL;2023-04-30 12:00:00;154;;;
145;CHL;2023-10-31 12:00:00;154;;;
146;CHL;2024-04-30 12:00:00;154;;;
147;CHL;2024-10-31 12:00:00;154;;;
148;CHL;2021-12-31 12:00:00;155;;;
149;CHL;2022-06-30 12:00:00;155;;;
150;CHL;2022-12-31 12:00:00;155;;;
151;CHL;2023-06-30 12:00:00;155;;;
152;CHL;2023-12-31 12:00:00;155;;;
153;CHL;2024-06-30 12:00:00;155;;;
154;CHL;2022-10-31 12:00:00;196;;;
155;CHL;2023-04-30 12:00:00;196;;;
156;CHL;2023-10-31 12:00:00;196;;;
157;CHL;2024-04-30 12:00:00;196;;;
158;CHL;2024-10-31 12:00:00;196;;;
159;CHL;2021-08-31 12:00:00;204;;;
160;CHL;2022-03-31 12:00:00;204;;;
161;CHL;2022-09-30 12:00:00;204;;;
162;CHL;2023-03-31 12:00:00;204;;;
163;CHL;2023-09-30 12:00:00;204;;;
164;CHL;2024-03-31 12:00:00;204;;;
165;CHL;2024-09-30 12:00:00;204;;;
166;CHL;2024-05-31 12:00:00;205;;;
167;CHL;2024-11-30 12:00:00;205;;;
168;CHL;2021-09-30 12:00:00;212;;;
169;CHL;2022-03-31 12:00:00;212;;;
170;CHL;2022-09-30 12:00:00;212;;;
171;CHL;2023-03-31 12:00:00;212;;;
172;CHL;2023-09-30 12:00:00;212;;;
173;CHL;2024-03-31 12:00:00;212;;;
174;CHL;2024-09-30 12:00:00;212;;;
175;CHL;2023-05-31 12:00:00;218;;;
176;CHL;2023-11-30 12:00:00;218;;;
177;CHL;2024-05-31 12:00:00;218;;;
178;CHL;2024-11-30 12:00:00;218;;;
179;CHL;2021-08-31 12:00:00;219;;;
180;CHL;2022-03-31 12:00:00;219;;;
181;CHL;2022-09-30 12:00:00;219;;;
182;CHL;2023-03-31 12:00:00;219;;;
183;CHL;2023-09-30 12:00:00;219;;;
184;CHL;2024-03-31 12:00:00;219;;;
185;CHL;2024-09-30 12:00:00;219;;;
186;CHL;2023-05-31 12:00:00;227;;;
187;CHL;2023-11-30 12:00:00;227;;;
188;CHL;2024-05-31 12:00:00;227;;;
189;CHL;2024-11-30 12:00:00;227;;;
190;CHL;2021-12-31 12:00:00;228;;;
191;CHL;2022-06-30 12:00:00;228;;;
192;CHL;2022-12-31 12:00:00;228;;;
193;CHL;2023-03-31 12:00:00;228;;;
194;CHL;2023-09-30 12:00:00;228;;;
195;CHL;2024-03-31 12:00:00;228;;;
196;CHL;2024-09-30 12:00:00;228;;;
197;CHL;2022-11-30 12:00:00;235;;;
198;CHL;2023-05-31 12:00:00;235;;;
199;CHL;2023-11-30 12:00:00;235;;;
200;CHL;2024-05-31 12:00:00;235;;;
201;CHL;2024-11-30 12:00:00;235;;;
202;CHL;2023-09-30 12:00:00;236;;;
203;CHL;2024-03-31 12:00:00;236;;;
204;CHL;2024-09-30 12:00:00;236;;;
205;CHL;2022-11-30 12:00:00;242;;;
206;CHL;2023-05-31 12:00:00;242;;;
207;CHL;2023-11-30 12:00:00;242;;;
208;CHL;2024-05-31 12:00:00;242;;;
209;CHL;2024-11-30 12:00:00;242;;;
210;CHL;2021-07-31 12:00:00;243;;;
211;CHL;2022-01-31 12:00:00;243;;;
212;CHL;2022-07-31 12:00:00;243;;;
213;CHL;2023-01-31 12:00:00;243;;;
214;CHL;2023-07-31 12:00:00;243;;;
215;CHL;2024-01-31 12:00:00;243;;;
216;CHL;2024-07-31 12:00:00;243;;;
217;CHL;2022-10-31 12:00:00;248;;;
218;CHL;2023-04-30 12:00:00;248;;;
219;CHL;2023-10-31 12:00:00;248;;;
220;CHL;2024-04-30 12:00:00;248;;;
221;CHL;2024-10-31 12:00:00;248;;;
222;CHL;2021-09-30 12:00:00;249;;;
223;CHL;2022-03-31 12:00:00;249;;;
224;CHL;2022-09-30 12:00:00;249;;;
225;CHL;2023-03-31 12:00:00;249;;;
226;CHL;2023-09-30 12:00:00;249;;;
227;CHL;2024-03-31 12:00:00;249;;;
228;CHL;2024-09-30 12:00:00;249;;;
229;CHL;2023-09-30 12:00:00;273;;;
230;CHL;2024-03-31 12:00:00;273;;;
231;CHL;2024-09-30 12:00:00;273;;;
232;CHL;2023-05-31 12:00:00;274;;;
233;CHL;2023-11-30 12:00:00;274;;;
234;CHL;2024-05-31 12:00:00;274;;;
235;CHL;2023-05-31 12:00:00;280;;;
236;CHL;2023-11-30 12:00:00;280;;;
237;CHL;2024-05-31 12:00:00;280;;;
238;CHL;2024-11-30 12:00:00;280;;;
239;CHL;2023-09-30 12:00:00;281;;;
240;CHL;2024-03-31 12:00:00;281;;;
241;CHL;2024-09-30 12:00:00;281;;;
242;CHL;2023-09-30 12:00:00;282;;;
243;CHL;2024-03-31 12:00:00;282;;;
244;CHL;2024-09-30 12:00:00;282;;;
245;CHL;2023-09-30 12:00:00;290;;;
246;CHL;2024-03-31 12:00:00;290;;;
247;CHL;2024-09-30 12:00:00;290;;;
248;CHL;2023-05-31 12:00:00;291;;;
249;CHL;2023-11-30 12:00:00;291;;;
250;CHL;2024-05-31 12:00:00;291;;;
251;CHL;2024-11-30 12:00:00;291;;;
252;CHL;2023-05-31 12:00:00;298;;;
253;CHL;2023-11-30 12:00:00;298;;;
254;CHL;2024-05-31 12:00:00;298;;;
255;CHL;2021-07-31 12:00:00;303;;;
256;CHL;2022-01-31 12:00:00;303;;;
257;CHL;2022-07-31 12:00:00;303;;;
258;CHL;2023-01-31 12:00:00;303;;;
259;CHL;2023-07-31 12:00:00;303;;;
260;CHL;2024-01-31 12:00:00;303;;;
261;CHL;2024-07-31 12:00:00;303;;;
262;CHL;2023-09-30 12:00:00;304;;;
263;CHL;2024-03-31 12:00:00;304;;;
264;CHL;2024-09-30 12:00:00;304;;;
265;CHL;2022-11-30 12:00:00;344;;;
266;CHL;2023-05-31 12:00:00;344;;;
267;CHL;2023-11-30 12:00:00;344;;;
268;CHL;2024-05-31 12:00:00;344;;;
269;CHL;2024-11-30 12:00:00;344;;;
270;CHL;2021-12-31 12:00:00;351;;;
271;CHL;2022-06-30 12:00:00;351;;;
