id;dateOfOrigin;presenceMarked;instructorId
147;2023-04-02 12:00:00;1;40
148;2022-08-12 12:00:00;1;32
149;2022-12-01 12:00:00;1;748
150;2021-07-07 12:00:00;1;218
151;2023-04-09 12:00:00;1;535
152;2022-05-15 12:00:00;1;401
153;2022-05-09 12:00:00;1;304
154;2023-04-03 12:00:00;1;700
155;2023-08-05 12:00:00;1;40
156;2023-06-20 12:00:00;1;730
157;2022-04-19 12:00:00;1;748
158;2022-07-18 12:00:00;1;57
159;2022-04-10 12:00:00;1;459
160;2024-02-12 12:00:00;1;303
161;2023-08-20 12:00:00;1;700
162;2022-10-11 12:00:00;1;359
163;2021-01-28 12:00:00;1;675
164;2023-08-31 12:00:00;1;785
165;2023-11-19 12:00:00;1;805
166;2023-05-17 12:00:00;1;738
167;2024-01-21 12:00:00;1;730
168;2021-07-05 12:00:00;1;80
169;2022-02-24 12:00:00;1;764
170;2024-01-21 12:00:00;1;714
171;2024-03-22 12:00:00;1;738
172;2021-12-12 12:00:00;1;393
173;2021-06-22 12:00:00;1;17
174;2023-02-20 12:00:00;1;739
175;2023-10-08 12:00:00;1;459
176;2022-02-07 12:00:00;1;243
177;2021-07-21 12:00:00;1;747
178;2023-03-22 12:00:00;1;730
179;2023-06-07 12:00:00;1;98
180;2023-06-25 12:00:00;1;433
181;2021-09-15 12:00:00;1;402
182;2023-05-25 12:00:00;1;402
183;2023-07-19 12:00:00;1;675
184;2022-09-13 12:00:00;1;359
185;2023-07-09 12:00:00;1;739
186;2022-01-17 12:00:00;1;130
187;2023-01-30 12:00:00;1;714
188;2021-06-17 12:00:00;1;298
189;2022-06-16 12:00:00;1;78
190;2023-05-11 12:00:00;1;58
191;2023-07-01 12:00:00;1;694
192;2022-02-08 12:00:00;1;57
193;2023-03-28 12:00:00;1;730
194;2024-02-26 12:00:00;1;88
195;2022-06-14 12:00:00;1;130
196;2024-01-17 12:00:00;1;738
197;2022-01-15 12:00:00;1;227
198;2021-08-10 12:00:00;1;291
199;2024-03-24 12:00:00;1;401
200;2022-03-30 12:00:00;1;459
201;2023-08-07 12:00:00;1;243
202;2021-07-26 12:00:00;1;6954
203;2021-11-01 12:00:00;1;40
204;2022-07-17 12:00:00;1;218
205;2023-02-23 12:00:00;1;72
206;2021-10-11 12:00:00;1;57
207;2022-12-28 12:00:00;1;764
208;2021-01-24 12:00:00;1;6954
209;2022-03-17 12:00:00;1;227
210;2023-10-16 12:00:00;1;433
211;2022-06-12 12:00:00;1;378
212;2023-05-06 12:00:00;1;72
213;2021-12-03 12:00:00;1;730
214;2023-12-12 12:00:00;1;763
215;2023-06-05 12:00:00;1;738
216;2023-06-05 12:00:00;1;739
217;2023-02-16 12:00:00;1;33
218;2023-06-05 12:00:00;1;748
219;2023-03-24 12:00:00;1;477
220;2023-05-27 12:00:00;1;367
221;2021-07-27 12:00:00;1;298
222;2023-02-06 12:00:00;1;367
223;2023-07-18 12:00:00;1;694
224;2021-12-14 12:00:00;1;477
225;2022-06-12 12:00:00;1;367
226;2023-07-31 12:00:00;1;367
227;2023-07-21 12:00:00;1;88
228;2021-03-21 12:00:00;1;738
229;2022-06-04 12:00:00;1;108
230;2024-03-25 12:00:00;1;386
231;2022-09-19 12:00:00;1;402
232;2023-06-12 12:00:00;1;714
233;2022-08-08 12:00:00;1;459
234;2021-06-22 12:00:00;1;700
235;2024-01-29 12:00:00;1;367
236;2023-07-12 12:00:00;1;377
237;2023-05-26 12:00:00;1;24
238;2024-01-03 12:00:00;1;694
239;2023-04-02 12:00:00;1;393
240;2022-03-13 12:00:00;1;359
241;2022-07-05 12:00:00;1;714
242;2021-10-27 12:00:00;1;58
243;2023-09-25 12:00:00;1;535
244;2023-12-10 12:00:00;1;675
245;2021-06-16 12:00:00;1;714
246;2023-09-25 12:00:00;1;700
247;2022-09-04 12:00:00;1;78
248;2024-03-14 12:00:00;1;377
249;2021-11-07 12:00:00;1;344
250;2023-02-17 12:00:00;1;805
251;2023-01-13 12:00:00;1;738
252;2023-05-28 12:00:00;1;932
253;2023-04-19 12:00:00;1;477
254;2023-10-08 12:00:00;1;730
255;2022-04-19 12:00:00;1;402
256;2022-07-18 12:00:00;1;419
257;2022-06-10 12:00:00;1;72
258;2024-03-27 12:00:00;1;57
259;2023-02-04 12:00:00;1;40
260;2024-01-22 12:00:00;1;730
261;2023-07-29 12:00:00;1;730
262;2023-04-16 12:00:00;1;433
263;2023-04-10 12:00:00;1;377
264;2021-08-02 12:00:00;1;58
265;2022-04-25 12:00:00;1;419
266;2023-06-01 12:00:00;1;700
267;2023-07-27 12:00:00;1;739
268;2022-12-11 12:00:00;1;23
269;2021-11-23 12:00:00;1;402
270;2023-10-17 12:00:00;1;684
271;2023-09-30 12:00:00;1;730
272;2023-11-23 12:00:00;1;80
273;2023-07-01 12:00:00;1;764
274;2023-05-12 12:00:00;1;64
275;2021-12-12 12:00:00;1;739
276;2021-06-16 12:00:00;1;344
277;2022-05-10 12:00:00;1;694
278;2024-01-22 12:00:00;1;1571
279;2023-06-01 12:00:00;1;675
280;2022-01-28 12:00:00;1;154
281;2022-06-06 12:00:00;1;401
282;2022-06-07 12:00:00;1;298
283;2023-12-23 12:00:00;1;683
284;2024-01-24 12:00:00;1;386
285;2023-10-17 12:00:00;1;477
286;2023-08-02 12:00:00;1;730
287;2023-05-30 12:00:00;1;402
288;2022-08-22 12:00:00;1;298
289;2022-06-18 12:00:00;1;66
290;2021-04-01 12:00:00;1;402
291;2024-04-07 12:00:00;1;730
292;2023-09-27 12:00:00;1;401
293;2024-02-21 12:00:00;1;58
294;2022-02-03 12:00:00;1;235
295;2022-10-10 12:00:00;1;748
296;2024-02-02 12:00:00;1;57
297;2023-01-09 12:00:00;1;722
298;2021-05-14 12:00:00;1;23
299;2022-07-18 12:00:00;1;130
300;2023-03-24 12:00:00;1;730
301;2022-02-14 12:00:00;1;738
302;2023-05-27 12:00:00;1;816
303;2023-05-29 12:00:00;1;401
304;2022-11-13 12:00:00;1;714
305;2021-07-12 12:00:00;1;235
306;2023-07-29 12:00:00;1;764
307;2022-09-14 12:00:00;1;402
308;2023-09-20 12:00:00;1;730
309;2021-11-12 12:00:00;1;32
310;2022-07-28 12:00:00;1;23
311;2023-10-10 12:00:00;1;377
312;2023-11-27 12:00:00;1;377
313;2021-09-24 12:00:00;1;58
314;2021-07-13 12:00:00;1;747
315;2021-10-03 12:00:00;1;58
316;2021-02-15 12:00:00;1;235
317;2021-08-31 12:00:00;1;50
318;2022-06-11 12:00:00;1;23
319;2023-04-11 12:00:00;1;72
320;2022-08-09 12:00:00;1;739
321;2023-02-16 12:00:00;1;243
322;2023-12-28 12:00:00;1;722
323;2024-03-26 12:00:00;1;1441
324;2022-12-04 12:00:00;1;739
