id;line_check_id;date_of_origin;carrier;flight_number;start_station;end_station;aircraft_type
144;141;2022-03-06 12:00:00;;;;;
145;142;2022-04-04 12:00:00;;;;;
146;143;2023-10-04 12:00:00;;;;;
147;144;2024-05-05 12:00:00;;;;;
148;145;2022-11-06 12:00:00;;;;;
149;146;2023-01-06 12:00:00;;;;;
150;147;2024-02-05 12:00:00;;;;;
151;148;2024-06-05 12:00:00;;;;;
152;149;2025-06-05 12:00:00;;;;;
153;150;2022-11-09 12:00:00;;;;;
154;151;2022-12-09 12:00:00;;;;;
155;152;2024-07-09 12:00:00;;;;;
156;153;2021-06-09 12:00:00;;;;;
157;154;2024-03-09 12:00:00;;;;;
158;155;2024-03-09 12:00:00;;;;;
159;156;2022-09-06 12:00:00;;;;;
160;157;2024-03-04 12:00:00;;;;;
161;158;2025-04-05 12:00:00;;;;;
162;159;2024-07-05 12:00:00;;;;;
163;160;2023-02-03 12:00:00;;;;;
164;161;2023-09-02 12:00:00;;;;;
165;162;2024-04-03 12:00:00;;;;;
166;163;2026-02-02 12:00:00;;;;;
167;164;2024-06-01 12:00:00;;;;;
168;165;2024-03-04 12:00:00;;;;;
169;166;2026-01-04 12:00:00;;;;;
170;167;2022-11-06 12:00:00;;;;;
171;168;2023-05-07 12:00:00;;;;;
172;169;2023-05-06 12:00:00;;;;;
173;170;2022-11-06 12:00:00;;;;;
174;171;2023-04-05 12:00:00;;;;;
175;172;2024-03-05 12:00:00;;;;;
176;173;2022-03-09 12:00:00;;;;;
177;174;2022-10-10 12:00:00;;;;;
178;175;2023-10-10 12:00:00;;;;;
179;176;2021-07-09 12:00:00;;;;;
180;177;2023-07-09 12:00:00;;;;;
181;178;2025-02-09 12:00:00;;;;;
182;179;2022-11-04 12:00:00;;;;;
183;180;2023-01-03 12:00:00;;;;;
184;181;2023-01-05 12:00:00;;;;;
185;182;2026-05-04 12:00:00;;;;;
186;95;2025-02-05 12:00:00;;;;;
187;183;2024-08-04 12:00:00;;;;;
188;184;2023-03-09 12:00:00;;;;;
189;185;2022-01-10 12:00:00;;;;;
190;186;2023-08-10 12:00:00;;;;;
191;187;2024-08-05 12:00:00;;;;;
192;188;2022-01-04 12:00:00;;;;;
193;189;2022-10-04 12:00:00;;;;;
194;190;2024-03-05 12:00:00;;;;;
195;191;2024-06-05 12:00:00;;;;;
196;192;2022-01-07 12:00:00;;;;;
197;193;2022-05-07 12:00:00;;;;;
198;194;2023-12-06 12:00:00;;;;;
199;195;2022-01-07 12:00:00;;;;;
200;196;2023-03-05 12:00:00;;;;;
201;197;2025-05-05 12:00:00;;;;;
202;198;2022-01-07 12:00:00;;;;;
203;199;2022-06-06 12:00:00;;;;;
204;200;2024-04-07 12:00:00;;;;;
205;201;2024-04-01 12:00:00;;;;;
206;202;2022-09-06 12:00:00;;;;;
207;203;2024-05-04 12:00:00;;;;;
208;204;2021-07-09 12:00:00;;;;;
209;205;2023-07-09 12:00:00;;;;;
210;206;2024-09-09 12:00:00;;;;;
211;207;2023-07-08 12:00:00;;;;;
212;208;2024-01-07 12:00:00;;;;;
213;209;2024-01-08 12:00:00;;;;;
214;210;2024-12-05 12:00:00;;;;;
215;211;2021-08-03 12:00:00;;;;;
216;212;2023-10-03 12:00:00;;;;;
217;213;2025-01-04 12:00:00;;;;;
218;214;2026-05-04 12:00:00;;;;;
219;215;2021-12-07 12:00:00;;;;;
220;216;2022-10-05 12:00:00;;;;;
221;217;2024-06-07 12:00:00;;;;;
222;218;2021-07-11 12:00:00;;;;;
223;219;2022-06-11 12:00:00;;;;;
224;220;2024-06-11 12:00:00;;;;;
225;221;2023-01-05 12:00:00;;;;;
226;222;2025-01-05 12:00:00;;;;;
227;223;2022-03-06 12:00:00;;;;;
228;224;2024-01-04 12:00:00;;;;;
229;225;2023-06-07 12:00:00;;;;;
230;226;2021-01-08 12:00:00;;;;;
231;227;2022-09-08 12:00:00;;;;;
232;228;2024-02-08 12:00:00;;;;;
233;229;2023-11-05 12:00:00;;;;;
234;230;2021-12-07 12:00:00;;;;;
235;231;2023-03-01 12:00:00;;;;;
236;232;2024-06-08 12:00:00;;;;;
237;233;2022-02-07 12:00:00;;;;;
238;234;2023-12-05 12:00:00;;;;;
239;235;2023-05-06 12:00:00;;;;;
240;236;2022-08-07 12:00:00;;;;;
241;237;2022-12-07 12:00:00;;;;;
242;238;2024-01-06 12:00:00;;;;;
243;239;2021-02-07 12:00:00;;;;;
244;240;2023-03-05 12:00:00;;;;;
245;241;2025-06-07 12:00:00;;;;;
246;242;2024-11-05 12:00:00;;;;;
247;243;2021-09-08 12:00:00;;;;;
248;244;2023-04-08 12:00:00;;;;;
249;245;2023-07-08 12:00:00;;;;;
250;246;2022-04-08 12:00:00;;;;;
251;247;2023-02-08 12:00:00;;;;;
252;248;2023-06-09 12:00:00;;;;;
253;249;2021-06-08 12:00:00;;;;;
254;250;2024-05-08 12:00:00;;;;;
255;251;2025-03-08 12:00:00;;;;;
256;252;2023-06-01 12:00:00;;;;;
257;253;2022-07-02 12:00:00;;;;;
258;254;2023-09-01 12:00:00;;;;;
259;255;2024-09-01 12:00:00;;;;;
260;256;2022-07-07 12:00:00;;;;;
261;257;2023-10-05 12:00:00;;;;;
262;258;2023-11-06 12:00:00;;;;;
263;259;2022-11-08 12:00:00;;;;;
264;260;2022-03-02 12:00:00;;;;;
265;261;2024-07-02 12:00:00;;;;;
266;262;2026-05-01 12:00:00;;;;;
267;263;2022-09-07 12:00:00;;;;;
268;264;2022-12-06 12:00:00;;;;;
269;265;2024-07-06 12:00:00;;;;;
270;266;2022-04-08 12:00:00;;;;;
271;267;2024-02-07 12:00:00;;;;;
272;268;2023-07-08 12:00:00;;;;;
273;269;2021-12-10 12:00:00;;;;;
274;270;2023-01-11 12:00:00;;;;;
275;271;2025-03-11 12:00:00;;;;;
276;272;2022-08-07 12:00:00;;;;;
277;273;2023-11-07 12:00:00;;;;;
278;274;2025-07-07 12:00:00;;;;;
279;275;2022-09-07 12:00:00;;;;;
280;276;2025-05-09 12:00:00;;;;;
281;277;2025-06-09 12:00:00;;;;;
282;278;2022-09-07 12:00:00;;;;;
283;279;2023-02-06 12:00:00;;;;;
284;280;2023-01-08 12:00:00;;;;;
285;281;2023-04-11 12:00:00;;;;;
286;282;2022-05-12 12:00:00;;;;;
287;283;2023-04-12 12:00:00;;;;;
288;284;2021-10-08 12:00:00;;;;;
289;285;2023-03-08 12:00:00;;;;;
290;286;2024-09-08 12:00:00;;;;;
291;287;2023-04-01 12:00:00;;;;;
292;288;2023-02-02 12:00:00;;;;;
293;289;2024-04-01 12:00:00;;;;;
294;290;2025-03-01 12:00:00;;;;;
295;291;2021-07-07 12:00:00;;;;;
296;292;2023-02-06 12:00:00;;;;;
297;293;2025-01-07 12:00:00;;;;;
298;294;2022-07-07 12:00:00;;;;;
299;295;2022-04-07 12:00:00;;;;;
300;296;2023-12-07 12:00:00;;;;;
301;297;2021-02-08 12:00:00;;;;;
302;298;2024-05-08 12:00:00;;;;;
303;299;2024-09-08 12:00:00;;;;;
304;300;2022-09-01 12:00:00;;;;;
305;301;2023-02-01 12:00:00;;;;;
306;302;2025-04-12 12:00:00;;;;;
307;303;2022-08-07 12:00:00;;;;;
308;304;2023-06-07 12:00:00;;;;;
309;305;2023-06-06 12:00:00;;;;;
310;306;2022-11-06 12:00:00;;;;;
311;307;2022-07-06 12:00:00;;;;;
312;308;2024-11-06 12:00:00;;;;;
313;309;2025-08-05 12:00:00;;;;;
314;310;2024-03-01 12:00:00;;;;;
315;311;2024-01-04 12:00:00;;;;;
316;312;2025-12-04 12:00:00;;;;;
317;313;2022-07-07 12:00:00;;;;;
318;314;2022-11-07 12:00:00;;;;;
319;315;2023-09-07 12:00:00;;;;;
320;316;2021-12-12 12:00:00;;;;;
321;317;2022-04-12 12:00:00;;;;;
322;318;2025-03-11 12:00:00;;;;;
323;319;2021-10-10 12:00:00;;;;;
324;320;2023-01-11 12:00:00;;;;;
325;321;2024-01-11 12:00:00;;;;;
326;322;2022-04-06 12:00:00;;;;;
327;323;2022-05-04 12:00:00;;;;;
328;324;2023-08-05 12:00:00;;;;;
329;325;2024-12-05 12:00:00;;;;;
330;326;2024-06-04 12:00:00;;;;;
331;327;2025-02-04 12:00:00;;;;;
332;328;2024-08-04 12:00:00;;;;;
333;329;2021-05-07 12:00:00;;;;;
334;330;2023-03-06 12:00:00;;;;;
335;331;2024-08-06 12:00:00;;;;;
336;332;2021-08-09 12:00:00;;;;;
337;333;2024-01-09 12:00:00;;;;;
338;334;2024-06-09 12:00:00;;;;;
339;335;2023-06-07 12:00:00;;;;;
340;336;2022-12-06 12:00:00;;;;;
